,label,relax_work,relaxed,energy,energy_fu,nform,volume,volume_fu,xc,elabel,gga,algo,isif,nelm,prec,ediff,encut,ispin,lasph,lreal,lwave,ncore,nedos,sigma,ismear,nelmin,nwrite,icorelevel,aexx,isym,kpar,time,lvhar,lhfcalc,hfscreen,lmaxfock,precfock,ldau,ldauj,ldaul,ldauu,lmaxmix,ldautype,type,group,seed_name,energy_pa,energy_pa_ref
10,Ag2Se_P21c-200928-111807-31f273,5bdc6fad-b63c-4f6b-a21e-34963a8b97c3,295717,-46.95182456,-11.73795614,4.0,218.93231995911228,54.73307998977807,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9126520466666665,0.03950231250000025
11,Ag2Se_P21c-200928-111807-31f273,8ad83a2c-513b-4dd3-b2b6-28570959d1d5,279128,-42.21420182,-10.553550455,4.0,227.30864888570977,56.82716222142744,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5178501516666665,0.03483132000000033
12,Ag2Se_P21c-200928-111551-90ea8f,549c82db-1635-454e-9c74-273601b8bd27,295705,-46.97867146,-11.744667865,4.0,223.70136967245878,55.925342418114695,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9148892883333333,0.037265070833333525
13,Ag2Se_P21c-200928-111551-90ea8f,fae1b4f2-a102-4f97-91be-a1710fb853e0,279675,-42.26817801,-10.5670445025,4.0,231.9688752346859,57.992218808671474,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5223481675,0.030333304166666686
14,Ag2Se_P21c-200928-111202-a65ed9HSE06,bce31d18-bfab-41ff-bf16-10024dcb68ca,381772,-42.55227631,-10.6380690775,4.0,266.00707417823946,66.50176854455987,pbe,relax__structure,pe,all,3,200,accurate,1.2e-05,550,1,True,False,True,1,2000,0.05,0,4,1,,0.25,3.0,21.0,0.3,True,True,0.2,4.0,fast,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5460230258333336,0.4061313333333332
15,Ag2Se_P21c-200928-111202-a65ed9,d514ea32-cbb0-4722-a842-c2f15a7da4d0,295759,-47.1234726,-11.78086815,4.0,216.08724008124943,54.02181002031236,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.92695605,0.025198309166666988
16,Ag2Se_P21c-200928-111202-a65ed9,ea4a578d-5d0f-4c3b-828f-97b472cd5a1b,279567,-42.30520249,-10.5763006225,4.0,224.43034099133502,56.107585247833754,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5254335408333333,0.027247930833333545
17,Ag2Se_P21c-200928-111202-24303c,13e7c950-5fcf-4ff5-8413-5bd822da45d1,279000,-42.38147499,-10.5953687475,4.0,230.11120812613365,57.52780203153341,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5317895825,0.020891889166666733
18,Ag2Se_P21c-200928-111202-24303c,daeb7ec0-17f6-49e7-a1d4-c6cabd4c24bd,295945,-47.21354743,-11.8033868575,4.0,222.6016601169567,55.65041502923918,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9344622858333334,0.017692073333333447
19,Ag2Se_P21c-200928-111139-8835b8,3be73ad1-23ef-4ff8-988c-7f727d1ef693,279010,-42.30225493,-10.5755637325,4.0,224.57463460389877,56.14365865097469,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.525187910833333,0.027493560833333763
20,Ag2Se_P21c-200928-111139-8835b8,ca9d8dee-4997-438d-b0ce-22a10c51834a,295923,-47.11126347,-11.7778158675,4.0,216.07708430020372,54.01927107505093,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9259386225,0.026215736666666878
21,Ag2Se_P21c-200928-110353-40159d,01f886db-3cdd-48ee-a2a2-55900ceb8785,279061,-42.41037086,-10.602592715,4.0,232.54522267142892,58.13630566785723,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5341975716666667,0.01848390000000011
22,Ag2Se_P21c-200928-110353-40159d,ceccf477-dbf2-4f7f-b503-36734510c018,296238,-47.20873628,-11.80218407,4.0,224.8620190246866,56.21550475617165,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9340613566666662,0.018093002500000566
23,Ag2Se_P21c-200928-110305-c410bc,11d69509-e8fc-4a1e-be1a-bff8d3a75bd8,296058,-47.21429475,-11.8035736875,4.0,222.89986934900986,55.724967337252465,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9345245625,0.017629796666666753
24,Ag2Se_P21c-200928-110305-c410bc,7b109e99-afd1-4a95-a6ce-054727cbb3dd,279666,-42.38079915,-10.5951997875,4.0,230.6724011668516,57.6681002917129,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5317332625,0.020948209166666842
25,Ag2Se_P21c-200928-110056-2fc97e,71a27643-4f31-4b5e-9df5-efe9d6de916b,279328,-42.22387362,-10.555968405,4.0,221.56289645073957,55.39072411268489,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.518656135,0.03402533666666674
26,Ag2Se_P21c-200928-110056-2fc97e,80a9c217-d54a-47d5-af2d-d32ea4575101,295865,-46.96950938,-11.742377345,4.0,213.9282110864302,53.48205277160755,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9141257816666664,0.03802857750000044
27,Ag2Se_P21c-200928-105036-ff3393,821caaca-7a37-4c67-adeb-c331a7b28a49,297818,-46.96110342,-11.740275855,4.0,214.77912969114078,53.694782422785195,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.913425285,0.0387290741666666
28,Ag2Se_P21c-200928-105036-ff3393,ffd6607d-f04b-4b47-8748-2a7019d5bf15,279081,-42.21619979,-10.5540499475,4.0,222.24097753470292,55.56024438367573,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5180166491666665,0.03466482250000036
29,Ag2Se_P21c-200928-104755-710b9e,6eacbea3-c1ca-4f27-81e9-a48f6746863f,296317,-46.9783589,-11.744589725,4.0,223.01594674593093,55.75398668648273,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.914863241666667,0.03729111749999969
30,Ag2Se_P21c-200928-104755-710b9e,e5931fbb-3bba-4c62-9ef5-a3d0127eb496,279175,-42.26854916,-10.56713729,4.0,232.02134161741515,58.00533540435379,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5223790966666666,0.030302375000000215
31,Ag2Se_P21c-200928-104226-17282a,567008d6-9e9e-4ced-884b-f9650688058c,279732,-42.26800992,-10.56700248,4.0,231.70733668527768,57.92683417131942,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5223341599999998,0.030347311666667043
32,Ag2Se_P21c-200928-104226-17282a,de630ad3-1967-414d-8eee-2dac3f4c682c,296938,-46.97710739,-11.7442768475,4.0,223.08588476419627,55.771471191049066,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9147589491666666,0.03739541000000024
33,Ag2Se_P21c-200928-103910-248baf,0da00339-1716-4f4a-92ec-39fc8f2052c3,295506,-47.21414168,-11.80353542,4.0,224.74859150284004,56.18714787571001,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9345118066666664,0.017642552500000352
34,Ag2Se_P21c-200928-103910-248baf,ce9d7408-9de2-4666-a026-a7ac8b1f7404,278894,-42.39868264,-10.59967066,4.0,233.81677775298735,58.45419443824684,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.533223553333333,0.01945791833333388
35,Ag2Se_P21c-200928-103649-d3f7b8,8e3c0dac-fd4b-4c7f-b854-95edfb990182,295892,-46.9411176,-11.7352794,4.0,225.2532447220966,56.31331118052415,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9117598,0.04039455916666679
36,Ag2Se_P21c-200928-103649-d3f7b8,fa930dfb-8930-4c4b-8928-e0a1de08e0a6,279294,-42.23161761,-10.5579044025,4.0,233.40184228089413,58.35046057022353,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5193014675,0.033380004166666755
37,Ag2Se_P21c-200928-103603-cadbde,07bd10ea-6a27-4e59-98a5-25daa0387c4c,297815,-47.21364651,-11.8034116275,4.0,222.17861789868832,55.54465447467208,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9344705424999997,0.017683816666667074
38,Ag2Se_P21c-200928-103603-cadbde,5c0ddebf-2172-45d9-8e7d-55b7c874f8f5,279201,-42.37956318,-10.594890795,4.0,230.30401981777146,57.576004954442865,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.531630265,0.021051206666666822
39,Ag2Se_P21c-200928-103157-fa0901,3bd56272-781d-4e10-9f32-011df54547b4,279075,-42.26832505,-10.5670812625,4.0,231.65888400958187,57.91472100239547,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5223604208333334,0.030321050833333363
40,Ag2Se_P21c-200928-103157-fa0901,53e169fd-78cb-4f0d-8c2f-5157c3610876,295920,-46.97847293,-11.7446182325,4.0,222.8663532566478,55.71658831416195,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.914872744166667,0.037281614999999935
41,Ag2Se_P21c-200928-102919-96269f,49c6cf96-5322-487a-91f5-aa504819df74,298444,-46.91924491,-11.7298112275,4.0,223.65762486813105,55.91440621703276,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9099370758333336,0.04221728333333319
42,Ag2Se_P21c-200928-102919-96269f,d3ed74b2-03b4-445d-99a2-7a2be7d2e682,279542,-42.22659217,-10.5566480425,4.0,232.27750522961415,58.06937630740354,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5188826808333338,0.03379879083333304
43,Ag2Se_P21c-200928-100033-e8ee9f,87c454ef-8c61-40d6-a5e6-96e6a308d780,279269,-42.23232441,-10.5580811025,4.0,232.96650346989836,58.24162586747459,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5193603674999996,0.033321104166667226
44,Ag2Se_P21c-200928-100033-e8ee9f,e2e6a1e2-226b-4bdd-a257-7d1bc85a875d,299031,-46.84151048,-11.71037762,4.0,233.5285332767012,58.3821333191753,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9034592066666662,0.04869515250000056
45,Ag2Se_P21c-200928-094239-c5b417,0b7c6229-9274-4e0b-9b0e-6842aa482294,383637,-42.23338957,-10.5583473925,4.0,232.9102573098607,58.227564327465174,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,1,True,False,False,10,2000,0.05,0,4,1,0.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5194491308333333,0.033232340833333485
46,Ag2Se_P21c-200928-094239-c5b417,45955a65-fda1-44db-8349-331738851495,494289,-37.10828181,-9.2770704525,4.0,232.7319428177143,58.182985704428575,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,10,2000,0.05,0,4,1,0.0,,,,,,,,,,True,"[0.0, 0.0]","[-1, 2]","[0.0, 2]",4.0,2.0,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.0923568175000002,0.46032465416666657
47,Ag2Se_P21c-200928-094239-c5b417,4c901146-464a-45b4-86f5-7b64bd4e972b,494694,-28.96372417,-7.2409310425,4.0,230.46310902739046,57.615777256847615,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,10,2000,0.05,0,4,1,0.0,,,,,,,,,,True,"[0.0, 0.0]","[-1, 2]","[0.0, 6]",4.0,2.0,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-2.4136436808333332,1.1390377908333336
48,Ag2Se_P21c-200928-094239-c5b417,7df8ca69-f5f3-4d1a-b939-48f6b22217c9,494335,-32.67666211,-8.1691655275,4.0,232.49763012450023,58.12440753112506,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,10,2000,0.05,0,4,1,0.0,,,,,,,,,,True,"[0.0, 0.0]","[-1, 2]","[0.0, 4]",4.0,2.0,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-2.7230551758333337,0.8296262958333331
49,Ag2Se_P21c-200928-094239-c5b417,825e2522-762e-4356-a3b7-e84c1f453814,384170,-36.13578372,-9.03394593,4.0,233.1367735931561,58.28419339828903,pbe,relax__structure,pe,normal,3,200,accurate,1.2e-05,550,1,True,False,False,10,2000,0.05,0,4,1,0.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.01131531,0.9408390491666667
50,Ag2Se_P21c-200928-094239-c5b417,b5c39101-3e11-4f21-9f57-8d86596f330b,295971,-46.93606115,-11.7340152875,4.0,224.95819257396263,56.23954814349066,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.911338429166667,0.040815929999999945
51,Ag2Se_P21c-200928-094239-c5b417,eafcaf6a-7e43-4f77-92a5-9a17323e1f09,383747,-46.93523835,-11.7338095875,4.0,224.67615432538022,56.169038581345056,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,1,True,False,False,10,2000,0.05,0,4,1,0.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9112698624999997,0.04088449666666705
52,Ag2Se_P21c-200928-094239-c5b417,f0e8a5bf-0e78-4cad-9af1-53a8fb7bea25,279091,-42.23356253,-10.5583906325,4.0,233.2434414432779,58.310860360819476,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.519463544166667,0.033217927499999966
53,Ag2Se_P21c-200928-093621-9623cc,07952cac-be9b-4cff-9436-5c96562f7add,494786,-28.97027397,-7.2425684925,4.0,229.74434879950724,57.43608719987681,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,10,2000,0.05,0,4,1,0.0,,,,,,,,,,True,"[0.0, 0.0]","[-1, 2]","[0.0, 6]",4.0,2.0,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-2.4141894975000002,1.1384919741666666
54,Ag2Se_P21c-200928-093621-9623cc,1c81e537-69c6-4c7f-b514-f568f8cacb5c,279621,-42.40672095,-10.6016802375,4.0,233.1161006899741,58.279025172493526,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5338934125,0.018788059166666926
55,Ag2Se_P21c-200928-093621-9623ccHSE06,6273e35a-fcee-4de3-af09-b9f201c4ad65,381673,-42.46991797,-10.6174794925,4.0,248.200397249597,62.05009931239925,pbe,relax__structure,pe,all,3,200,accurate,1.2e-05,550,1,True,False,True,1,2000,0.05,0,4,1,,0.25,3.0,16.0,0.3,True,True,0.2,4.0,fast,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.539159830833333,0.41299452833333383
56,Ag2Se_P21c-200928-093621-9623cc,7ad30921-1f6a-40fe-9124-7505114751de,383611,-42.40800418,-10.602001045,4.0,232.94509623346252,58.23627405836563,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,1,True,False,False,10,2000,0.05,0,4,1,0.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.534000348333333,0.018681123333333716
57,Ag2Se_P21c-200928-093621-9623cc,8c6e705b-e6c4-4575-8fb4-41bda1f4a4cb,295730,-47.20867348,-11.80216837,4.0,224.64650422408334,56.161626056020836,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9340561233333333,0.018098235833333476
58,Ag2Se_P21c-200928-093621-9623cc,947470c6-b6bf-401d-8722-41e8afbe7658,494519,-37.22127911,-9.3053197775,4.0,232.29067098070286,58.072667745175714,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,10,2000,0.05,0,4,1,0.0,,,,,,,,,,True,"[0.0, 0.0]","[-1, 2]","[0.0, 2]",4.0,2.0,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.1017732591666665,0.45090821250000035
59,Ag2Se_P21c-200928-093621-9623cc,be94adc4-8f7a-4133-99a6-e5dbbb5b32fc,383713,-47.20870236,-11.80217559,4.0,224.7789098184336,56.1947274546084,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,1,True,False,False,10,2000,0.05,0,4,1,0.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9340585299999997,0.018095829166667077
60,Ag2Se_P21c-200928-093621-9623cc,d06fa7bc-9510-4c97-b85c-19eec7c84181,494625,-32.73251754,-8.183129385,4.0,231.36875546357922,57.842188865894805,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,10,2000,0.05,0,4,1,0.0,,,,,,,,,,True,"[0.0, 0.0]","[-1, 2]","[0.0, 4]",4.0,2.0,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-2.7277097950000004,0.8249716766666664
